FileName,GPT4.1_EmoClass,GPT4.1_EmoVal,Gold_Spans,Annot1,Annot2,Annot3
MSP-PODCAST_0597_0382.wav,sad,negative,"[[4, 14]]","[[6, 9]]",[],"[[5, 9]]"
MSP-PODCAST_0683_0413.wav,disgust,negative,"[[6, 10], [17, 22]]","[[6, 7]]","[[6, 11]]","[[5, 22]]"
MSP-PODCAST_1752_0283.wav,happy,negative,"[[7, 13]]","[[10, 13]]","[[1, 3]]","[[5, 13]]"
MSP-PODCAST_0593_0168.wav,surprise,positive,"[[5, 21]]","[[9, 16]]","[[1, 4], [9, 11]]","[[7, 21]]"
MSP-PODCAST_0600_0263.wav,disgust,positive,"[[3, 9]]","[[4, 7]]","[[4, 8]]","[[0, 9]]"
MSP-PODCAST_0147_0262.wav,angry,negative,"[[6, 23]]","[[6, 11]]","[[7, 11]]","[[6, 7], [15, 23]]"
MSP-PODCAST_0281_0077.wav,contempt,negative,"[[0, 8]]","[[1, 8]]","[[4, 6]]","[[0, 1], [5, 8]]"
MSP-PODCAST_0147_0259.wav,angry,negative,"[[0, 11]]","[[0, 11]]","[[0, 3]]","[[0, 4]]"
MSP-PODCAST_0541_0289.wav,happy,positive,"[[3, 12]]","[[6, 12]]","[[3, 6]]","[[6, 12]]"
MSP-PODCAST_0047_0215.wav,disgust,negative,"[[0, 6]]","[[0, 6]]","[[4, 5]]","[[4, 6]]"
MSP-PODCAST_1684_0071.wav,contempt,negative,"[[0, 9]]","[[0, 4]]","[[1, 2], [7, 9]]","[[0, 3]]"
MSP-PODCAST_0184_0320.wav,happy,positive,"[[0, 7]]","[[4, 8]]","[[2, 3], [5, 6]]","[[4, 10]]"
MSP-PODCAST_0575_0298.wav,contempt,negative,"[[0, 30], [39, 43]]","[[0, 33]]","[[4, 5]]","[[0, 43]]"
MSP-PODCAST_2058_0157.wav,surprise,negative,"[[7, 14]]","[[6, 14]]","[[12, 14]]","[[0, 14]]"
MSP-PODCAST_0147_0276.wav,angry,negative,"[[3, 22]]","[[3, 22]]","[[3, 9]]","[[3, 7]]"
MSP-PODCAST_1917_0741.wav,contempt,negative,"[[0, 11]]","[[1, 11]]","[[6, 9]]","[[0, 11]]"
MSP-PODCAST_0147_0189.wav,angry,negative,"[[1, 6], [16, 22]]","[[1, 6]]","[[3, 6]]","[[1, 22]]"
MSP-PODCAST_0184_0335.wav,contempt,negative,"[[5, 17]]","[[5, 7], [9, 12]]","[[6, 12]]",[]
MSP-PODCAST_2198_0304.wav,disgust,negative,"[[0, 15]]","[[2, 4]]","[[2, 7]]","[[2, 13]]"
MSP-PODCAST_0566_0305.wav,contempt,negative,"[[11, 14], [17, 33]]","[[0, 2], [28, 35]]","[[28, 33]]","[[14, 35]]"
MSP-PODCAST_2198_0236.wav,surprise,negative,"[[5, 9]]","[[6, 7]]","[[6, 9]]","[[1, 8]]"
MSP-PODCAST_0772_0154.wav,happy,positive,"[[0, 10], [22, 25]]","[[5, 8], [14, 16]]","[[6, 11]]","[[6, 19]]"
MSP-PODCAST_2197_0088.wav,sad,negative,"[[2, 12]]","[[3, 5]]","[[2, 9]]","[[3, 11]]"
MSP-PODCAST_0709_0078.wav,happy,positive,"[[0, 7]]","[[0, 2], [5, 9], [10, 13]]",[],"[[0, 7]]"
MSP-PODCAST_0552_0120.wav,contempt,negative,"[[1, 10]]","[[15, 18]]","[[6, 10]]","[[4, 14]]"
MSP-PODCAST_0201_0202.wav,contempt,negative,"[[1, 15]]","[[0, 4]]","[[1, 4]]","[[0, 9]]"
MSP-PODCAST_0584_0145.wav,disgust,negative,"[[6, 31], [33, 50]]","[[8, 20], [34, 50]]","[[33, 47]]","[[4, 6], [8, 32], [37, 42], [44, 47], [49, 50]]"
MSP-PODCAST_0563_0228.wav,fear,negative,"[[5, 12]]","[[5, 6]]","[[0, 2]]","[[0, 2]]"
MSP-PODCAST_0081_0016.wav,surprise,positive,"[[12, 24]]","[[8, 13]]","[[12, 24]]","[[12, 24]]"
MSP-PODCAST_0046_0037.wav,disgust,negative,"[[5, 10]]","[[0, 10]]","[[5, 10]]","[[2, 10]]"
MSP-PODCAST_0190_0034.wav,disgust,negative,"[[7, 21]]","[[7, 21]]","[[7, 21]]","[[10, 21]]"
MSP-PODCAST_2058_0094.wav,angry,negative,"[[0, 18]]","[[0, 18]]","[[1, 11]]","[[8, 18]]"
MSP-PODCAST_0114_0241.wav,fear,negative,"[[8, 16]]","[[8, 16]]","[[9, 16]]","[[0, 8]]"
MSP-PODCAST_0709_0053.wav,contempt,negative,"[[5, 9]]","[[0, 2]]","[[5, 12]]","[[5, 12]]"
MSP-PODCAST_0700_0343.wav,happy,positive,"[[0, 11]]","[[6, 11]]","[[0, 6]]","[[0, 6]]"
MSP-PODCAST_0584_0080.wav,surprise,negative,"[[0, 9]]","[[6, 9]]","[[1, 9]]","[[8, 9]]"
MSP-PODCAST_0593_0151.wav,angry,negative,"[[2, 9]]","[[3, 8]]","[[2, 8]]","[[2, 4]]"
MSP-PODCAST_0147_0202.wav,contempt,negative,"[[10, 20]]","[[3, 7], [10, 20]]","[[9, 20]]","[[5, 7], [11, 20]]"
MSP-PODCAST_2199_0341.wav,fear,negative,"[[5, 10]]","[[1, 4]]","[[4, 10]]","[[1, 4]]"
MSP-PODCAST_0114_0178.wav,contempt,negative,"[[3, 9]]","[[1, 4]]","[[0, 4]]","[[3, 4], [7, 9]]"
MSP-PODCAST_1917_0750.wav,sad,negative,"[[5, 9]]","[[5, 9]]","[[4, 9]]","[[4, 9]]"
MSP-PODCAST_0190_0074.wav,angry,negative,"[[1, 6]]","[[2, 7]]","[[1, 6]]","[[2, 6]]"
MSP-PODCAST_0569_0068.wav,surprise,negative,"[[1, 7], [17, 19]]","[[7, 16]]","[[2, 7]]","[[2, 7]]"
MSP-PODCAST_0047_0253.wav,surprise,positive,"[[3, 9]]","[[17, 21]]","[[12, 13]]","[[3, 9]]"
MSP-PODCAST_0575_0258.wav,angry,negative,"[[3, 20]]","[[8, 20]]","[[15, 20]]","[[8, 12]]"
MSP-PODCAST_0498_0405.wav,surprise,positive,"[[4, 22]]","[[3, 10]]","[[4, 6], [16, 17], [19, 22]]","[[2, 10]]"
MSP-PODCAST_0218_0141.wav,happy,positive,"[[0, 33]]","[[16, 20]]","[[18, 19]]","[[1, 13], [15, 20], [24, 30]]"
MSP-PODCAST_0281_0021.wav,contempt,negative,"[[0, 14]]","[[0, 14]]","[[2, 5], [10, 13]]","[[0, 7]]"
MSP-PODCAST_0295_0579.wav,disgust,negative,"[[6, 7]]",[],[],"[[6, 7]]"
MSP-PODCAST_0381_0462.wav,surprise,negative,"[[1, 9]]","[[6, 9]]","[[6, 9]]","[[3, 9]]"
MSP-PODCAST_2058_0172.wav,disgust,negative,"[[3, 11]]","[[9, 11]]","[[3, 5]]","[[5, 11]]"
MSP-PODCAST_0678_0019.wav,disgust,negative,"[[3, 10]]","[[4, 10]]","[[7, 10]]","[[4, 10]]"
MSP-PODCAST_0566_0385.wav,contempt,negative,"[[4, 30]]","[[0, 4], [6, 13], [23, 28]]","[[18, 20], [23, 28]]","[[8, 28]]"
MSP-PODCAST_0593_0141.wav,fear,negative,"[[14, 24]]","[[3, 9], [18, 22], [23, 24]]","[[23, 24]]","[[23, 24]]"
MSP-PODCAST_0201_0192.wav,angry,negative,"[[7, 12]]","[[0, 5], [7, 11]]","[[7, 8], [9, 10]]","[[6, 11]]"
MSP-PODCAST_0081_0068.wav,angry,negative,"[[5, 9]]","[[5, 9]]","[[7, 8]]","[[6, 8]]"
MSP-PODCAST_0420_0062.wav,contempt,negative,"[[16, 18]]","[[14, 16]]","[[7, 8]]","[[15, 18]]"
MSP-PODCAST_0147_0217.wav,disgust,negative,"[[3, 8]]","[[2, 3]]","[[5, 8]]","[[2, 8]]"
MSP-PODCAST_0575_0244.wav,angry,positive,"[[9, 17]]","[[4, 8], [10, 13]]","[[9, 17]]","[[2, 17]]"
MSP-PODCAST_1657_0021.wav,angry,negative,"[[0, 9]]","[[3, 8]]","[[0, 2]]","[[1, 9]]"
MSP-PODCAST_0715_0424.wav,surprise,positive,"[[13, 19]]","[[13, 19]]","[[14, 19]]","[[17, 29]]"
MSP-PODCAST_0190_0051.wav,contempt,negative,"[[7, 22]]","[[19, 22]]","[[8, 11], [19, 22]]","[[19, 22]]"
MSP-PODCAST_0147_0206.wav,disgust,negative,"[[7, 16]]","[[10, 15]]","[[10, 16]]","[[5, 16]]"
MSP-PODCAST_0218_0103.wav,angry,negative,"[[0, 4]]","[[0, 3]]","[[0, 3]]","[[0, 3]]"
MSP-PODCAST_0575_0290.wav,angry,negative,"[[1, 8]]","[[5, 8]]","[[5, 8]]","[[1, 9]]"
MSP-PODCAST_1684_0049.wav,contempt,positive,"[[0, 14]]","[[2, 8], [11, 14]]","[[1, 10]]","[[12, 14]]"
MSP-PODCAST_0278_0064.wav,surprise,negative,"[[8, 22]]","[[17, 22]]","[[17, 22]]","[[17, 22]]"
MSP-PODCAST_0047_0226.wav,disgust,negative,"[[0, 6], [13, 29]]","[[0, 4], [19, 29]]","[[14, 29]]","[[13, 29]]"
MSP-PODCAST_0190_0049.wav,disgust,negative,"[[8, 12]]","[[8, 12]]","[[8, 12]]","[[8, 12]]"
MSP-PODCAST_0147_0249.wav,angry,negative,"[[21, 38]]","[[1, 2], [7, 10]]","[[32, 38]]","[[1, 3]]"
MSP-PODCAST_0692_0071.wav,sad,negative,"[[5, 11]]","[[8, 9]]","[[7, 11]]","[[8, 10]]"
MSP-PODCAST_0498_0363.wav,contempt,negative,"[[1, 5]]","[[2, 3]]","[[2, 4]]","[[2, 3]]"
MSP-PODCAST_0566_0336.wav,fear,negative,"[[8, 19]]","[[8, 10], [22, 23]]","[[22, 23]]","[[8, 10], [22, 23]]"
MSP-PODCAST_0281_0084.wav,angry,negative,"[[6, 16]]","[[10, 13]]","[[10, 16]]","[[10, 11]]"
MSP-PODCAST_0700_0452.wav,contempt,negative,"[[6, 14]]","[[7, 8]]","[[3, 5]]","[[7, 8]]"
MSP-PODCAST_0167_0159.wav,happy,positive,"[[2, 8]]","[[7, 9], [11, 12]]","[[7, 8]]","[[0, 1], [7, 8]]"
MSP-PODCAST_0552_0098.wav,contempt,negative,"[[8, 16]]","[[22, 23]]","[[8, 10]]","[[22, 23]]"
MSP-PODCAST_0047_0307.wav,happy,positive,"[[7, 14]]","[[7, 8]]","[[7, 10]]","[[5, 6], [7, 9]]"
MSP-PODCAST_0611_0083.wav,angry,negative,"[[0, 15]]","[[11, 13]]","[[16, 18]]","[[11, 12], [17, 18]]"
MSP-PODCAST_0566_0353.wav,angry,negative,"[[0, 7], [15, 23]]","[[1, 3], [18, 19]]","[[4, 11]]","[[18, 19]]"
MSP-PODCAST_1752_0085.wav,contempt,negative,"[[0, 8]]","[[0, 8], [9, 22]]","[[0, 8]]","[[6, 8]]"
MSP-PODCAST_0593_0107.wav,disgust,positive,"[[7, 26]]","[[23, 26]]","[[10, 26]]","[[24, 26]]"
MSP-PODCAST_0114_0177.wav,contempt,negative,"[[8, 12]]","[[8, 12]]","[[8, 12]]","[[11, 12]]"
MSP-PODCAST_2199_0402.wav,fear,negative,"[[4, 13]]","[[10, 13]]","[[4, 9]]","[[10, 13]]"
MSP-PODCAST_0114_0171.wav,sad,negative,"[[9, 18]]","[[0, 8], [9, 18]]","[[1, 18]]","[[16, 18]]"
MSP-PODCAST_0190_0057.wav,disgust,negative,"[[11, 17]]","[[0, 17]]","[[6, 17]]","[[13, 15]]"
